More Info|Industry: Auto Manufacturers - Major |Consumer Goods|Auto Manufacturers - Major
ASHOKLEY.BO|Ashok Leyland |Consumer Goods|Auto Manufacturers - Major
ASHOKLEY.NS|Ashok Leyland |Consumer Goods|Auto Manufacturers - Major
ATULAUTO.BO|Atul Auto Ltd |Consumer Goods|Auto Manufacturers - Major
NSU.DE|Audi AG |Consumer Goods|Auto Manufacturers - Major
2357.HK|AviChina Industry |Consumer Goods|Auto Manufacturers - Major
BAJAJ-AUT.NS|Bajaj Auto Ltd |Consumer Goods|Auto Manufacturers - Major
BAJAJAUT.BO|Bajaj Auto Ltd |Consumer Goods|Auto Manufacturers - Major
BMW.DE|Bayerische Motoren Werke AG |Consumer Goods|Auto Manufacturers - Major
BMW.MI|Bayerische Motoren Werke AG |Consumer Goods|Auto Manufacturers - Major
BMW3.DE|Bayerische Motoren Werke AG |Consumer Goods|Auto Manufacturers - Major
BMWA.DE|Bayerische Motoren Werke AG |Consumer Goods|Auto Manufacturers - Major
BLBD|Blue Bird Corporation |Consumer Goods|Auto Manufacturers - Major
CBA.DE|Brilliance China |Consumer Goods|Auto Manufacturers - Major
BY6.DE|BYD Co Ltd |Consumer Goods|Auto Manufacturers - Major
BY6A.DE|BYD Co Ltd |Consumer Goods|Auto Manufacturers - Major
1211.HK|BYD Co., Ltd. |Consumer Goods|Auto Manufacturers - Major
2204.TW|China Motor Corp |Consumer Goods|Auto Manufacturers - Major
DMO.DE|Daihatsu Motor Co., Ltd. |Consumer Goods|Auto Manufacturers - Major
DAI.DE|Daimler AG |Consumer Goods|Auto Manufacturers - Major
DAI.MI|Daimler AG |Consumer Goods|Auto Manufacturers - Major
DAIC.DE|Daimler AG |Consumer Goods|Auto Manufacturers - Major
DAIN.MX|Daimler AG |Consumer Goods|Auto Manufacturers - Major
D4D.DE|Dongfeng Motor Group Co Ltd |Consumer Goods|Auto Manufacturers - Major
ZM7.DE|EEStor Corp |Consumer Goods|Auto Manufacturers - Major
EICHERMOT.BO|Eicher Motors Ltd |Consumer Goods|Auto Manufacturers - Major
EICHERMOT.NS|Eicher Motors Ltd |Consumer Goods|Auto Manufacturers - Major
ELCR|Electric Car Company, Inc. |Consumer Goods|Auto Manufacturers - Major
MLEMG.PA|EON MOTORS GROUP SACA |Consumer Goods|Auto Manufacturers - Major
FCA.MI|Fiat Chrysler Automobiles NV |Consumer Goods|Auto Manufacturers - Major
FORCEMOT.BO|Force Motors Ltd |Consumer Goods|Auto Manufacturers - Major
F.MX|Ford Motor Co |Consumer Goods|Auto Manufacturers - Major
FDM.L|Ford Motor Co |Consumer Goods|Auto Manufacturers - Major
FDMO34.SA|Ford Motor Co |Consumer Goods|Auto Manufacturers - Major
FMC1.DE|Ford Motor Co |Consumer Goods|Auto Manufacturers - Major
FORDP.PA|Ford Motor Co |Consumer Goods|Auto Manufacturers - Major
F|Ford Motor Co. |Consumer Goods|Auto Manufacturers - Major
FUH.DE|Fuji Heavy Industries Ltd |Consumer Goods|Auto Manufacturers - Major
MLGAU.PA|Gaussin SA |Consumer Goods|Auto Manufacturers - Major
GRU.DE|Geely Automobile Holdings Ltd |Consumer Goods|Auto Manufacturers - Major
GRUA.DE|Geely Automobile Holdings Ltd |Consumer Goods|Auto Manufacturers - Major
0175.HK|Geely Automobile Holdings Ltd. |Consumer Goods|Auto Manufacturers - Major
GM|General Motors Company |Consumer Goods|Auto Manufacturers - Major
BUS.V|Grande West |Consumer Goods|Auto Manufacturers - Major
GRV.DE|Great Wall Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
2333.HK|Great Wall Motor Co., Ltd. |Consumer Goods|Auto Manufacturers - Major
GPV.V|GreenPower Motor Company Inc |Consumer Goods|Auto Manufacturers - Major
HEROHONDA.BO|Hero MotoCorp Ltd |Consumer Goods|Auto Manufacturers - Major
HEROHONDA.NS|Hero MotoCorp Ltd |Consumer Goods|Auto Manufacturers - Major
HINDMOTOR.BO|Hindustan Motors Ltd |Consumer Goods|Auto Manufacturers - Major
HINDMOTOR.NS|Hindustan Motors Ltd. |Consumer Goods|Auto Manufacturers - Major
HMO.DE|Hino Motors Ltd |Consumer Goods|Auto Manufacturers - Major
HDM.DE|Honda Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
HDMA.DE|Honda Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
HMCN.MX|Honda Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
HMC|Honda Motor Co., Ltd. |Consumer Goods|Auto Manufacturers - Major
2207.TW|Hotai Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
HYU.DE|Hyundai Motor Co |Consumer Goods|Auto Manufacturers - Major
HYUD.L|Hyundai Motor Co |Consumer Goods|Auto Manufacturers - Major
HYUO.L|Hyundai Motor Co |Consumer Goods|Auto Manufacturers - Major
IMS.MI|Immsi |Consumer Goods|Auto Manufacturers - Major
ISU.DE|Isuzu Motors Ltd |Consumer Goods|Auto Manufacturers - Major
C07.SI|Jardine Cycle & Carriage Ltd |Consumer Goods|Auto Manufacturers - Major
CYC.DE|Jardine Cycle & Carriage Ltd |Consumer Goods|Auto Manufacturers - Major
K8A.DE|Kandi Technologies Group Inc |Consumer Goods|Auto Manufacturers - Major
KNDI|Kandi Technologies Group, Inc. |Consumer Goods|Auto Manufacturers - Major
LML.BO|LML Ltd |Consumer Goods|Auto Manufacturers - Major
LML.NS|LML Ltd |Consumer Goods|Auto Manufacturers - Major
MHID.L|Mahindra & Mahindra Ltd |Consumer Goods|Auto Manufacturers - Major
MNM.BO|Mahindra & Mahindra Ltd |Consumer Goods|Auto Manufacturers - Major
MOM.DE|Mahindra & Mahindra Ltd |Consumer Goods|Auto Manufacturers - Major
BAUH524.SA|Marcopolo SA |Consumer Goods|Auto Manufacturers - Major
BAUH525.SA|Marcopolo SA |Consumer Goods|Auto Manufacturers - Major
MARUTI.BO|Maruti Suzuki India Ltd |Consumer Goods|Auto Manufacturers - Major
MARUTI.NS|Maruti Suzuki India Ltd |Consumer Goods|Auto Manufacturers - Major
MZA.DE|Mazda Motor Corp |Consumer Goods|Auto Manufacturers - Major
MMO.DE|Mitsubishi Motors Corp |Consumer Goods|Auto Manufacturers - Major
NFI.TO|New Flyer Industries Inc |Consumer Goods|Auto Manufacturers - Major
NISA.DE|Nissan Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
OPE.L|Optare PLC |Consumer Goods|Auto Manufacturers - Major
F13.DE|ORH Ltd |Consumer Goods|Auto Manufacturers - Major
ORH.AX|ORH Ltd |Consumer Goods|Auto Manufacturers - Major
PEU.DE|Peugeot |Consumer Goods|Auto Manufacturers - Major
UG.PA|Peugeot |Consumer Goods|Auto Manufacturers - Major
MLPGO.PA|PGO Automobiles |Consumer Goods|Auto Manufacturers - Major
PINF.MI|Pininfarina Spa |Consumer Goods|Auto Manufacturers - Major
PAH3.DE|Porsche Automobil Holding SE |Consumer Goods|Auto Manufacturers - Major
BAZA546.SA|Randon Implementos |Consumer Goods|Auto Manufacturers - Major
BAZA547.SA|Randon Implementos |Consumer Goods|Auto Manufacturers - Major
RNL.DE|Renault SA |Consumer Goods|Auto Manufacturers - Major
RNO.MI|Renault SA |Consumer Goods|Auto Manufacturers - Major
RNO.PA|Renault SA |Consumer Goods|Auto Manufacturers - Major
SLNN|Saleen Automotive, Inc. |Consumer Goods|Auto Manufacturers - Major
2206.TW|Sanyang Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
SCOOTER.BO|Scooters India Ltd |Consumer Goods|Auto Manufacturers - Major
SWARAJMAZ.NS|SML Isuzu Ltd |Consumer Goods|Auto Manufacturers - Major
SWARAJMAZD.BO|SML Isuzu Ltd |Consumer Goods|Auto Manufacturers - Major
A9S.DE|SORL Auto Parts Inc |Consumer Goods|Auto Manufacturers - Major
SORL|SORL Auto Parts, Inc. |Consumer Goods|Auto Manufacturers - Major
SUK.DE|Suzuki Motor Corp |Consumer Goods|Auto Manufacturers - Major
0693.HK|Tan Chong International Ltd. |Consumer Goods|Auto Manufacturers - Major
TTM|Tata Motors Limited |Consumer Goods|Auto Manufacturers - Major
TATB.DE|Tata Motors Ltd |Consumer Goods|Auto Manufacturers - Major
TATAMOTOR.NS|Tata Motors, Ltd. |Consumer Goods|Auto Manufacturers - Major
TATAMOTORS.BO|Tata Motors, Ltd. |Consumer Goods|Auto Manufacturers - Major
TL0.DE|Tesla Motors Inc |Consumer Goods|Auto Manufacturers - Major
TSLA|Tesla Motors, Inc. |Consumer Goods|Auto Manufacturers - Major
TAH.DE|Toyota Industries Corporation |Consumer Goods|Auto Manufacturers - Major
TMN.MX|Toyota Motor Corp |Consumer Goods|Auto Manufacturers - Major
TOM.DE|Toyota Motor Corp |Consumer Goods|Auto Manufacturers - Major
TOMA.DE|Toyota Motor Corp |Consumer Goods|Auto Manufacturers - Major
TYT.L|Toyota Motor Corp |Consumer Goods|Auto Manufacturers - Major
TM|Toyota Motor Corporation |Consumer Goods|Auto Manufacturers - Major
TVSMOTOR.BO|TVS Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
TVSMOTOR.NS|TVS Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
VCCLLTD.BO|VCCL Ltd |Consumer Goods|Auto Manufacturers - Major
50IT.L|Volkswagen AG |Consumer Goods|Auto Manufacturers - Major
VKW.L|Volkswagen AG |Consumer Goods|Auto Manufacturers - Major
VOW.DE|Volkswagen AG |Consumer Goods|Auto Manufacturers - Major
VOW3.DE|Volkswagen AG |Consumer Goods|Auto Manufacturers - Major
VOW4.DE|Volkswagen AG |Consumer Goods|Auto Manufacturers - Major
VOW5.DE|Volkswagen AG |Consumer Goods|Auto Manufacturers - Major
VRDT|VRDT Corporation |Consumer Goods|Auto Manufacturers - Major
0305.HK|Wuling Motors Holdings Ltd |Consumer Goods|Auto Manufacturers - Major
YMA.DE|Yamaha Motor Co., Ltd. |Consumer Goods|Auto Manufacturers - Major
2201.TW|Yulon Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
2227.TW|Yulon Nissan Motor Co Ltd |Consumer Goods|Auto Manufacturers - Major
ZAAP|ZAP |Consumer Goods|Auto Manufacturers - Major
ZNN.V|Zenn Motor Co Inc |Consumer Goods|Auto Manufacturers - Major
